episode,game,exploration,explored,safe,MA_explored,MA_safe
188,['100+11sin((2pi/35)t)+0e'],10.0,-13.3,-32.6,-34.3,-35.5
189,['100+65sin((2pi/35)t)+0e'],10.0,-253.2,-300.2,-34.3,-35.5
190,['100+28sin((2pi/36)t)+0e'],10.0,-119.1,-107.2,-34.3,-36.5
191,['100+56sin((2pi/35)t)+0e'],10.0,-26.5,-11.3,-34.3,-36.5
192,['100+73sin((2pi/35)t)+0e'],10.0,-91.1,-93.0,-34.3,-36.5
193,['100+11sin((2pi/36)t)+0e'],10.0,-19.1,-11.5,-33.7,-35.5
194,['100+64sin((2pi/37)t)+0e'],10.0,-60.9,-78.4,-34.3,-35.5
195,['100+5sin((2pi/35)t)+0e'],10.0,-36.0,-22.2,-35.2,-35.5
196,['100+24sin((2pi/38)t)+0e'],10.0,-80.2,-78.2,-35.2,-35.5
197,['100+39sin((2pi/39)t)+0e'],10.0,-36.8,-33.9,-35.6,-34.4
198,['100+49sin((2pi/37)t)+0e'],10.0,-111.0,-112.9,-35.6,-35.6
199,['100+52sin((2pi/38)t)+0e'],10.0,-10.4,-18.0,-35.6,-35.6
