episode,game,exploration,explored,safe,MA_explored,MA_safe
160,[60]_concat sin + base: 100+52sin((2pi/106)t)+0e,10.0,4.0,15.7,14.4,21.7
161,[61]_concat sin + base: 100+66sin((2pi/93)t)+0e,10.0,-1.6,16.9,14.4,21.7
162,[62]_concat sin + base: 100+39sin((2pi/88)t)+0e,10.0,23.7,26.6,14.9,22.2
163,[63]_concat sin + base: 100+40sin((2pi/124)t)+0e,10.0,22.3,35.5,15.1,22.2
164,[64]_concat sin + base: 100+55sin((2pi/118)t)+0e,10.0,12.2,19.5,15.1,22.2
165,[65]_concat sin + base: 100+67sin((2pi/140)t)+0e,10.0,11.8,18.3,15.1,22.2
166,[66]_concat sin + base: 100+66sin((2pi/131)t)+0e,10.0,-22.2,-17.2,15.1,22.2
167,[67]_concat sin + base: 100+27sin((2pi/104)t)+0e,10.0,6.4,6.5,15.1,22.2
168,[68]_concat sin + base: 100+51sin((2pi/105)t)+0e,10.0,1.9,23.8,15.1,22.2
169,[69]_concat sin + base: 100+73sin((2pi/87)t)+0e,10.0,20.5,25.2,15.1,22.2
170,[70]_concat sin + base: 100+24sin((2pi/103)t)+0e,10.0,31.0,39.9,15.2,22.2
171,[71]_concat sin + base: 100+22sin((2pi/123)t)+0e,10.0,20.3,14.8,15.2,22.2
172,[72]_concat sin + base: 100+44sin((2pi/110)t)+0e,10.0,16.5,29.3,15.2,22.2
173,[73]_concat sin + base: 100+59sin((2pi/123)t)+0e,10.0,12.8,21.8,15.2,22.2
174,[74]_concat sin + base: 100+57sin((2pi/149)t)+0e,10.0,1.0,28.3,15.1,22.2
175,[75]_concat sin + base: 100+58sin((2pi/119)t)+0e,10.0,4.9,15.7,15.1,22.2
176,[76]_concat sin + base: 100+43sin((2pi/122)t)+0e,10.0,10.1,13.3,15.1,22.2
177,[77]_concat sin + base: 100+78sin((2pi/126)t)+0e,10.0,9.1,17.3,14.9,21.8
178,[78]_concat sin + base: 100+55sin((2pi/87)t)+0e,10.0,24.1,30.3,14.9,21.8
179,[79]_concat sin + base: 100+35sin((2pi/115)t)+0e,10.0,3.8,18.1,14.9,21.8
180,[80]_concat sin + base: 100+48sin((2pi/121)t)+0e,10.0,31.0,40.9,15.1,21.8
181,[81]_concat sin + base: 100+40sin((2pi/134)t)+0e,10.0,11.7,12.7,15.1,21.8
182,[82]_concat sin + base: 100+51sin((2pi/153)t)+0e,10.0,21.9,11.5,15.5,21.8
183,[83]_concat sin + base: 100+54sin((2pi/144)t)+0e,10.0,8.8,18.5,15.5,21.8
184,[84]_concat sin + base: 100+23sin((2pi/107)t)+0e,10.0,3.8,16.3,15.5,21.8
185,[85]_concat sin + base: 100+76sin((2pi/93)t)+0e,10.0,32.8,46.0,15.5,21.8
186,[86]_concat sin + base: 100+55sin((2pi/80)t)+0e,10.0,4.8,12.5,15.5,21.8
187,[87]_concat sin + base: 100+75sin((2pi/144)t)+0e,10.0,26.7,42.1,16.1,22.2
188,[88]_concat sin + base: 100+76sin((2pi/130)t)+0e,10.0,3.9,5.1,16.1,22.2
189,[89]_concat sin + base: 100+68sin((2pi/92)t)+0e,10.0,-1.6,8.1,16.1,22.2
190,[90]_concat sin + base: 100+28sin((2pi/112)t)+0e,10.0,6.2,6.9,16.1,22.2
191,[91]_concat sin + base: 100+49sin((2pi/80)t)+0e,10.0,16.6,32.9,16.1,22.2
192,[92]_concat sin + base: 100+79sin((2pi/144)t)+0e,10.0,19.9,22.9,16.6,22.7
193,[93]_concat sin + base: 100+29sin((2pi/86)t)+0e,10.0,12.0,13.8,16.6,22.7
194,[94]_concat sin + base: 100+46sin((2pi/102)t)+0e,10.0,-5.7,6.7,16.6,22.7
195,[95]_concat sin + base: 100+29sin((2pi/151)t)+0e,10.0,18.9,23.1,16.6,22.9
196,[96]_concat sin + base: 100+77sin((2pi/87)t)+0e,10.0,14.2,27.2,16.6,22.9
197,[97]_concat sin + base: 100+76sin((2pi/122)t)+0e,10.0,20.9,14.3,17.1,22.9
198,[98]_concat sin + base: 100+62sin((2pi/149)t)+0e,10.0,29.8,33.3,17.1,22.9
199,[99]_concat sin + base: 100+34sin((2pi/81)t)+0e,10.0,3.6,8.7,17.1,22.9
